stationReference,stationName,latitude,longitude,easting,northing
036225,Rainfall station,54.344552,-0.754715,481050.5161013213,495048.36645877827
036487,Rainfall station,54.408361,-0.754323,480950.5376235853,502148.35621243715
036704,Rainfall station,54.434842,-0.550006,494150.57130366674,505348.3035731888
037239,Rainfall station,54.27325,-0.422074,502850.5138845611,487548.4447124087
037292,Rainfall station,54.204227,-0.30358,510750.5340266349,480048.4361943989
037973,Rainfall station,54.297778,-1.167931,454250.56816610123,489448.4000607295
038476,Rainfall station,54.107252,-0.128568,522450.5598463731,469548.4627558789
039163,Rainfall station,54.100377,-0.208409,517250.5346314327,468648.4390298526
039268,Rainfall station,54.04064,-0.241524,515250.5305926187,461948.4227060549
040492,Rainfall station,53.6913,-0.031959,530050.5331772408,423448.64106498857
040752,Rainfall station,53.983799,-0.227143,516350.5136188555,455648.49161204335
041238,Rainfall station,53.867134,-0.367439,507450.5158606015,442448.52689313545
041917,Rainfall station,53.805201,-0.309101,511450.51218217035,435648.5858202339
043533,Rainfall station,53.999217,-0.43093,502950.53562576213,457048.5189219465
046222,Rainfall station,53.719928,-0.676248,487450.57575395453,425648.60838292696
047281,Rainfall station,54.275194,-2.263325,382950.5236851886,486648.43117549684
047439,Rainfall station,54.31489,-2.180572,388350.57265129214,491048.40275314666
049902,Rainfall station,54.130296,-1.656404,422550.53841213824,470548.4038573057
051250,Rainfall station,54.379686,-2.105419,393250.5110431565,498248.33663959586
051729,Rainfall station,54.413883,-1.988402,400850.5657147666,502048.3897569096
052287,Rainfall station,54.409101,-1.735735,417250.5119830531,501548.33391707396
053532,Rainfall station,54.318976,-1.637925,423650.51199740503,491548.3334487481
054371,Rainfall station,54.419203,-1.515299,431550.5414939954,502748.3790116138
054507,Rainfall station,54.382707,-1.394093,439450.52600931434,498748.3481517199
054604,Rainfall station,54.32908,-1.456389,435450.5293226196,492748.3557346495
055223,Rainfall station,54.364209,-1.297407,445750.5396569156,496748.38115249964
055R0521E_TG_326,Rainfall station,52.221039,-2.984386,332850.5151095298,258549.12800847052
056505,Rainfall station,54.073241,-1.337477,443450.52144034154,464348.47758014896
057426,Rainfall station,54.18467,-1.901124,406550.5139172237,476548.43905014993
058461,Rainfall station,53.979278,-1.646973,423250.57355478423,453748.5475123922
059793,Rainfall station,53.966652,-1.115089,458150.55420682154,452648.4589743481
060947,Rainfall station,54.218703,-2.195488,387350.5205303229,480348.40534433955
061431,Rainfall station,54.163943,-2.152346,390150.5336354797,474248.4742366265
062046,Rainfall station,54.071438,-1.913617,405750.5536584293,463948.48650103604
063518,Rainfall station,53.876425,-1.532241,430850.57387817703,442348.5520526163
068762,Rainfall station,54.368186,-0.974109,466750.57430236664,497448.3457623519
070365,Rainfall station,54.244415,-0.80684,477850.5554977416,483848.38215513964
073422,Rainfall station,54.100116,-2.164345,389350.54202602705,467148.4509627762
074108,Rainfall station,53.911448,-2.098144,393650.5230267134,446148.4751616064
074329,Rainfall station,53.986087,-1.999194,400150.53626024106,454448.535756306
074385,Rainfall station,53.947438,-2.020525,398750.5295691031,450148.5255523811
0744SE,Rainfall station,51.266892,0.857627,599450.524855691,155849.57853532708
074924,Rainfall station,53.829697,-1.976406,401650.5472757591,437048.51295435295
075233,Rainfall station,53.79732,-1.924807,405050.530753115,433448.58980523236
076204,Rainfall station,53.787777,-1.627332,424650.5750108211,432448.56704381807
076413,Rainfall station,53.83349,-1.58894,427150.56229508016,437548.51624540944
077066,Rainfall station,53.70469,-2.135531,391150.55258052784,423148.61322828
077256,Rainfall station,53.798228,-2.056887,396350.57002551784,433548.52457173925
077336,Rainfall station,53.77754,-2.084173,394550.5574731737,431248.5739033032
077800,Rainfall station,53.636457,-2.005248,399750.5356688771,415548.6231529244
077836,Rainfall station,53.657107,-1.925056,405050.5222137836,417848.6609753789
077952,Rainfall station,53.772138,-1.90361,406450.5583672401,430648.5292847505
078530,Rainfall station,53.592394,-1.929702,404750.55856006156,410648.59024659806
078772,Rainfall station,53.552738,-1.824111,411750.5214528368,406248.6948810862
078922,Rainfall station,53.60567,-1.766463,415550.52376544144,412148.64208498475
079621,Rainfall station,53.698015,-1.667505,422050.5106010374,422448.6563967102
080282,Rainfall station,53.679365,-1.478411,434550.5503856495,420448.6678760536
082509,Rainfall station,53.367029,-1.59795,426850.517144818,385648.76366741984
082672,Rainfall station,53.324572,-1.539797,430750.5131086648,380948.75175428623
082732,Rainfall station,53.352459,-1.545506,430350.5212165471,384048.7590092128
083280,Rainfall station,53.194682,-1.434915,437850.56681938766,366548.80330592656
083534,Rainfall station,53.250698,-1.498624,433550.5588565037,372748.7717781087
084532,Rainfall station,53.366844,-1.351488,443250.5400083471,385748.77841671795
085322,Rainfall station,53.571934,-1.588459,427350.5720536417,408448.6635876963
085960,Rainfall station,53.527019,-1.385249,440850.5221912489,403548.6367204988
086575,Rainfall station,53.591095,-1.271011,448350.52667674795,410748.6629839913
0924SE,Rainfall station,51.251014,1.322456,631950.5450709346,155449.5230426513
0925SE,Rainfall station,51.207877,1.383789,636450.5846841321,150849.50646441808
1023SE,Rainfall station,51.294661,1.108973,616850.5404415092,159649.47578839908
1040,Rainfall station,52.309441,-1.774803,415450.5140805691,267949.1623067541
1045,Rainfall station,52.362576,-1.508732,433550.5677808941,273949.13188186556
